Label,Field Value,product_id,list_price_usd
Alabama,alabama,11193,930
Alaska,alaska,11194,920
Arizona,arizona,11195,910
Arkansas,arkansas,11196,925
California,california,11197,905
Colorado,colorado,11198,895
Connecticut,connecticut,11192,1000
Delaware,delaware,11199,995
Florida,florida,11190,930
Georgia,georgia,11200,915
Hawaii,hawaii,11201,910
Idaho,idaho,11202,915
Illinois,illinois,11203,945
Indiana,indiana,11204,910
Iowa,iowa,11205,905
Kansas,kansas,11206,920
Kentucky,kentucky,11207,915
Louisiana,louisiana,11208,930
Maine,maine,11209,935
Maryland,maryland,11210,935
Massachusetts,massachusetts,11211,925
Michigan,michigan,11212,920
Minnesota,minnesota,11213,910
Mississippi,mississippi,11214,935
Missouri,missouri,11215,915
Montana,montana,11216,910
Nebraska,nebraska,11217,915
Nevada,nevada,11218,980
New Hampshire,new-hampshire,11219,905
New Jersey,new-jersey,11188,995
New Mexico,new-mexico,11220,970
New York,new-york,11221,930
North Carolina,north-carolina,11222,920
North Dakota,north-dakota,11223,935
Ohio,ohio,11224,905
Oklahoma,oklahoma,11225,930
Oregon,oregon,11226,920
Pennsylvania,pennsylvania,11189,995
Rhode Island,rhode-island,11227,925
South Carolina,south-carolina,11228,910
South Dakota,south-dakota,11229,935
Tennessee,tennessee,11230,935
Texas,texas,11191,930
Utah,utah,11231,920
Vermont,vermont,11232,955
Virginia,virginia,11233,905
Washington,washington,11234,935
West Virginia,west-virginia,11235,920
Wisconsin,wisconsin,11236,915
Wyoming,wyoming,11237,905
